,JBLAB-19902,JBLAB-19904,JBLAB-19905,JBLAB-19906,JBLAB-19907,JBLAB-19917,JBLAB-19937,JBLAB-19938,JBLAB-19939,JBLAB-19941
ENSG00000267305,4.688,2.903,2.498,1.635,4.178,0.72,4.206,0.974,0,1.019
ENSG00000143512,5.86,2.903,3.331,10.626,34.814,7.923,22.08,10.709,1.051,0
ENSG00000143498,127.752,80.315,189.018,358.012,97.48,218.255,212.384,227.818,292.184,102.912
ENSG00000225265,12.892,33.868,44.965,80.103,18.104,49.702,77.804,42.838,76.724,17.322
ENSG00000154305,1363.073,1217.305,2022.578,2338.521,945.56,1900.186,1301.643,1811.832,2291.225,804.956
ENSG00000272750,7.032,12.579,44.132,32.695,11.141,20.889,32.594,20.445,16.816,43.814
ENSG00000186063,1557.631,1117.637,1499.655,1693.609,1211.543,870.138,1666.481,1168.296,2580.255,1153.43
ENSG00000162819,1329.085,1660.489,2557.991,1199.912,1229.646,1349.146,1868.351,1966.631,2997.51,1485.602
ENSG00000197520,8.204,18.385,6.661,6.539,15.318,34.575,21.028,105.147,52.551,25.473
ENSG00000228106,123.063,70.639,426.332,66.208,71.021,105.166,73.599,144.09,270.112,84.571
ENSG00000278610,0,0.968,0.833,0.817,0,2.161,0,0.974,0,0
ENSG00000154309,90.246,132.568,183.189,249.301,55.703,150.545,158.763,110.988,122.969,39.738
ENSG00000187554,65.634,108.377,272.286,131.598,58.488,150.545,164.02,86.649,311.102,149.783
ENSG00000236846,0,0.968,2.498,0,0,0,1.051,0,1.051,1.019
ENSG00000143502,12.892,342.548,3338.211,191.267,25.066,589.936,331.193,318.361,563.347,712.233
ENSG00000178395,0,0,16.654,3.27,0,4.322,7.36,0,3.153,0
ENSG00000203697,571.952,22.256,9.159,0,520.824,5.763,8.411,0.974,18.918,0
ENSG00000227002,8.204,14.515,24.148,31.878,1.393,21.609,18.925,24.339,22.071,16.303
ENSG00000162909,6419.221,11506.338,5502.345,935.082,5712.354,3649.826,5381.104,1927.688,3520.918,1299.138
ENSG00000143514,2514.009,2577.822,3714.582,1458.204,2164.066,1743.158,1273.255,1844.934,1575.48,1032.177
ENSG00000227621,2.344,0.968,3.331,4.087,0,0.72,4.206,0.974,4.204,1.019
ENSG00000188460,368.018,453.828,588.704,270.552,298.012,301.091,161.917,117.803,125.071,220.089
ENSG00000272645,148.848,129.665,240.644,232.953,208.887,119.572,297.548,159.667,92.49,48.909
ENSG00000185495,138.3,59.994,174.863,46.591,105.836,57.625,100.935,142.143,68.316,43.814
ENSG00000278467,5.86,1.935,3.331,4.904,1.393,1.441,11.565,4.868,4.204,1.019
ENSG00000229930,5.86,5.806,15.821,6.539,2.785,10.805,4.206,14.604,6.306,4.076
ENSG00000143756,1101.71,911.527,2123.332,1387.909,601.594,1439.186,1223.838,2080.54,2638.061,1139.165
ENSG00000236773,37.505,34.835,19.152,19.617,47.348,21.609,37.851,76.913,11.561,47.89
ENSG00000143753,4870.966,2699.746,2385.626,6251.314,2659.823,6974.071,3661.001,5218.387,6531.041,2625.786
ENSG00000232628,0,0.968,0,6.539,0,2.881,0,0,6.306,1.019
ENSG00000237101,3.516,4.838,1.665,0.817,6.963,1.441,4.206,3.894,2.102,2.038
ENSG00000143748,546.167,681.226,1158.257,857.431,591.846,991.151,688.672,948.267,882.857,463.614
ENSG00000143771,759.477,909.592,1876.026,1463.926,724.14,1694.897,1537.158,1122.537,2397.378,1438.731
ENSG00000162923,3932.168,5589.152,8613.234,4059.104,2909.095,4317.557,4974.209,3907.949,5204.653,2760.285
ENSG00000143786,5.86,53.221,16.654,22.887,5.57,38.897,84.113,11.683,50.449,55.022
ENSG00000229991,23.441,2.903,40.801,17.982,19.496,38.177,11.565,14.604,21.02,6.114
